commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260506-235058-smoke-all_numeric	smoke	tree_bagging_rf	all_numeric	61056.896544	3650.759291		17.876191	keep	single_knob=all_numeric	Stage 1 smoke iter1: RandomForestRegressor(n_est=200,max_depth=18,mls=2,max_features=sqrt) on all_numeric lane (excl parcel_ids/transferred_parcel_ids). Fair anchor vs xgboost smoke iter1 (53600.06) and HGB iter1 (70431.74).
20260506-235444-smoke-numeric_plus_basic_cats	smoke	tree_bagging_rf	numeric_plus_basic_cats	60925.658390	3521.695311		18.901669	keep	single_knob=numeric_plus_basic_cats	Smoke iter2: all_numeric + OHE(property_type, transaction_type)
20260506-235558-smoke-derived_ratios	smoke	tree_bagging_rf	derived_ratios	61040.762826	3561.893607		18.694125	keep	single_knob=derived_ratios	Smoke iter3: all_numeric + 5 structural ratios (drops OHE cats from iter2)
20260506-235748-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	60429.906927	3686.804853		19.489034	keep	single_knob=add_ratios	Deepen iter1: add 5 structural ratios on top of cats baseline
20260507-000004-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	59018.931977	3243.107523		17.093269	keep	single_knob=commune_target_enc20	Deepen iter2: add commune_first target encoding (smoothed=20, fold-safe)
20260507-000122-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	58363.157460	3050.980439		17.359594	keep	single_knob=cadastral_target_enc20	Deepen iter3: add cadastral_first target encoding (smooth=20)
20260507-000239-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	58712.075009	3223.626844		18.824930	keep	single_knob=date_ordinal	Deepen iter4: add transaction_date as date_ordinal (days since 2014-01-01)
20260507-000421-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	58265.006521	3235.011745		17.932489	keep	single_knob=commune_freq	Deepen iter5: REVERT date_ordinal, add commune frequency encoding (count of train records per commune)
20260507-000534-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	57734.634210	3422.838370		18.108412	keep	single_knob=property_type_te20	Deepen iter6: add property_type target encoding (smooth=20) alongside OHE
20260507-000647-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	54221.871428	5216.213253		18.101489	keep	single_knob=log1p_target	Deepen iter7: log1p target -- HGB iter21 saw lift, xgboost saw none; RF with squared_error criterion may benefit
20260507-000809-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	54241.399532	5157.209133		17.923641	keep	single_knob=transaction_type_te20	Deepen iter8: add transaction_type target encoding (smooth=20) alongside OHE
20260507-000930-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	53939.822863	5161.078515		18.495922	keep	single_knob=presence_flags	Deepen iter9: add 5 presence flags (has_apt, has_house, has_land, has_commercial, has_built)
20260507-001053-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	53716.087872	5057.265049		18.252606	keep	single_knob=drop_ohe	Deepen iter10: drop OHE cats; rely solely on target_enc + presence_flags for cat signal (simplification test)
20260507-001214-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	52688.630162	5089.047706		76.172609	keep	single_knob=criterion_absolute_error	Tune iter1: criterion=absolute_error -- direct loss-metric alignment for sklearn RF. Note ~10x slower split computation expected.
20260507-001442-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	52630.892352	5122.855966		172.866904	keep	single_knob=n_est500	Tune iter2: n_estimators=500 (was 200) -- more trees for better averaging. Will be slower.
20260507-001822-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	52467.122798	5107.172304		78.876620	keep	single_knob=max_depth_none	Tune iter3: REVERT n_est to 200, set max_depth=None (unlimited)
20260507-002028-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	52817.517475	5167.958500		87.470833	keep	single_knob=mls1	Tune iter4: min_samples_leaf=1 (was 2)
20260507-002240-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	51735.626204	4968.570037		170.581396	keep	single_knob=mf0.5	Tune iter5: REVERT mls=2; max_features=0.5 (was sqrt)
20260507-002621-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	51790.622611	4998.576552		234.409149	keep	single_knob=mf0.7	Tune iter6: max_features=0.7
20260507-003114-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	51173.890739	4772.785534		266.650868	keep	single_knob=bootstrap_false	Tune iter7: REVERT mf=0.5; bootstrap=False (pasting)
20260507-003626-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	51096.099396	4727.844216		208.909192	keep	single_knob=mf0.4	Tune iter8: max_features=0.4 (was 0.5)
20260507-004037-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	51017.192638	4700.916175		208.657923	keep	single_knob=smooth10	Tune iter9: target_enc smooth=10 (was 20)
20260507-004448-deepen-numeric_plus_basic_cats	deepen	tree_bagging_rf	numeric_plus_basic_cats	51026.895794	4637.322504		205.707072	keep	single_knob=smooth5	Tune iter10: target_enc smooth=5 (was 10)
20260507-004953-deepen-numeric_plus_basic_cats	ablate	tree_bagging_rf	numeric_plus_basic_cats	51333.953948	4628.455346		22.510062	ablate	ablate_c1=criterion_squared_error	Ablate c1: revert criterion to squared_error
20260507-005053-deepen-numeric_plus_basic_cats	ablate	tree_bagging_rf	numeric_plus_basic_cats	50663.638786	4749.875804		196.184495	ablate	ablate_c2=max_depth_18	Ablate c2: revert max_depth to 18 (NEW family best -- max_depth=None was harmful)
20260507-005449-deepen-numeric_plus_basic_cats	ablate	tree_bagging_rf	numeric_plus_basic_cats	51720.361651	5028.244521		89.045431	ablate	ablate_c3=mf_sqrt	Ablate c3: revert max_features to sqrt
20260507-005647-deepen-numeric_plus_basic_cats	ablate	tree_bagging_rf	numeric_plus_basic_cats	51699.424652	4994.460606		132.391520	ablate	ablate_c4=bootstrap_true	Ablate c4: revert bootstrap=True
20260507-010029-deepen-numeric_plus_basic_cats	confirm	tree_bagging_rf	numeric_plus_basic_cats	50843.010772	4532.314570		196.843587	confirm	confirm_seed2026	Confirm seed=2026 of promoted simplified recipe (W minus max_depth=None)
