commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260508-222002-smoke-v1_anchor_plus_built_rel_type	smoke	tree_bagging_rf_v2	v1_anchor_plus_built_rel_type	50565.974406	4813.843906		222.442429	keep	single_knob=built_rel_type	v2 Smoke lane A: v1 promoted recipe + fold-safe built_rel_type = built_area / mean(built_area | property_type). Anchor = v1 promoted recipe (50663.64 seed=42). xgboost_v4 saw -245 from this exact unit.
20260508-222453-smoke-v1_anchor_plus_id_token_counts	smoke	tree_bagging_rf_v2	v1_anchor_plus_id_token_counts	50824.037567	4823.656796		234.957531	keep	single_knob=id_token_counts	v2 Smoke lane B: v1 promoted recipe + parcel_id_count and transferred_parcel_id_count (comma-split lengths). Anchor v1 (50663.64). Hypothesis: ID tokens encode multi-parcel structure; bounded counts dodge the high-cardinality leakage warning in feature_search_space.md.
20260508-223005-smoke-v1_anchor_plus_room_density	smoke	tree_bagging_rf_v2	v1_anchor_plus_room_density	50575.663556	4719.439859		245.749993	keep	single_knob=room_area_density_ratios	v2 Smoke lane C: v1 promoted recipe + 10 room density ratios (area_*/num_* per apt/house room bucket). Anchor v1 (50663.64). Hypothesis: per-room area is a per-dwelling size signal that aggregate built_area misses; protected against zero-num denominators.
20260508-223520-deepen-lane_a_plus_built_per_land	deepen	tree_bagging_rf_v2	lane_a_plus_built_per_land	50941.892490	4770.091493		228.306668	discard	single_knob=built_per_land	v2 Deepen iter1: lane A best (built_rel_type) + built_per_land = built_area/land_area cumulative. xgboost_v4 saw -116 from this exact unit.
20260508-224002-deepen-lane_a_plus_room_density	deepen	tree_bagging_rf_v2	lane_a_plus_room_density	50705.800985	4712.801637		256.748008	discard	single_knob=room_density_cumulative	v2 Deepen iter2: lane A (built_rel_type) + room_area_density_ratios cumulative. Lane C alone showed -88 vs anchor; cumulative may push -180 if the two signals are non-redundant.
20260508-224538-deepen-lane_a_extra_trees	deepen	tree_bagging_rf_v2	lane_a_extra_trees	52459.344644	5079.249908		174.520498	discard	single_knob=extra_trees	v2 Deepen iter3: ExtraTreesRegressor swap on lane A (built_rel_type). Same hyperparams (criterion=absolute_error, n_est=200, depth=18, mls=2, mf=0.4, bootstrap=False). Random splits trade some bias for less-correlated trees + variance reduction; might reach a noise-aware lift where features alone plateaued.
20260508-224945-deepen-lane_a_n_est_400	deepen	tree_bagging_rf_v2	lane_a_n_est_400	50660.718222	4806.290154		439.681842	discard	single_knob=n_est_400	v2 Deepen iter4: capacity bump n_est 200 -> 400 on lane A. v1 tune iter2 (n_est=500) was within noise but with depth=None; depth=18 + bagging=False trees are smaller and benefit from more averaging.
20260508-225821-deepen-lane_a_max_depth_22	deepen	tree_bagging_rf_v2	lane_a_max_depth_22	50908.386986	4766.490909		240.797308	discard	single_knob=max_depth_22	v2 Deepen iter5: max_depth 18 -> 22 on lane A. v1 ablate found depth=None harmful and depth=18 the sweet spot, but local search beyond 18 wasn't done. With built_rel_type now in the feature mix, a slightly deeper tree may capture missed type-x-size interactions.
20260508-230358-deepen-lane_a_mls_1	deepen	tree_bagging_rf_v2	lane_a_mls_1	50740.327767	4650.152996		233.318895	discard	single_knob=mls_1	v2 Deepen iter6: min_samples_leaf 2 -> 1 with depth=18 fixed. v1 tested mls=1 with depth=None and saw regression -- but with depth=18 cap, mls=1 may give finer terminal granularity without overfitting.
20260508-230947-deepen-lane_a_per_type_submodels	deepen	tree_bagging_rf_v2	lane_a_per_type_submodels	50602.362591	4808.996309		344.668102	discard	single_knob=per_type_submodels_top3	v2 Deepen iter7: per-property-type sub-model architecture on lane A. Train top-3 type sub-RFs (n_est=100, same recipe) on type subsets of train; blend 0.3*sub + 0.7*global for predictions of that type. xgboost_v4 saw -215 cumulative from this exact architecture. Top types: UNE MAISON (10085), UN APPARTEMENT (6443), TERRAIN DE TYPE TERRE ET PRE (2020).
20260508-232044-deepen-lane_a_log_skewed	deepen	tree_bagging_rf_v2	lane_a_log_skewed	50691.822254	4755.870678		362.916673	discard	single_knob=log_skewed_numerics	v2 Deepen iter8: add log1p of 9 heavily-skewed numeric columns (areas + count-of-X). Hypothesis: depth=18 trees may struggle to find split points in heavy-tailed distributions; explicit log transforms give RF easier-to-split linear-scaled features. Untried lift in this family.
20260508-232800-deepen-lane_a_smooth_15	deepen	tree_bagging_rf_v2	lane_a_smooth_15	50767.984415	4851.364059		287.669044	discard	single_knob=smooth_15	v2 Deepen iter9: target_enc smooth 10 -> 15 on lane A. Mid-point between v1's tested 10 (winner) and 20 (baseline). With built_rel_type added in lane A, the optimal smoothing may have shifted slightly higher.
20260508-233359-deepen-lane_a_mf_0_3	deepen	tree_bagging_rf_v2	lane_a_mf_0_3	50886.083752	4890.892149		272.050118	discard	single_knob=mf_0_3	v2 Deepen iter10: max_features 0.4 -> 0.3 on lane A. v1 tested 0.5/0.7/sqrt + 0.4 won. Below 0.4 untested; more aggressive feature decorrelation between trees may help with the built_rel_type addition.
